Longitude,Latitude,RSSI
-8.50818,51.891688,-84
-8.50818,51.891688,-84
-8.50818,51.891688,-84
-8.50818,51.891688,-84
-8.50818,51.891688,-84
-8.50818,51.891688,-84
-8.50818,51.891688,-89
-8.50818,51.891688,-85
-8.50818,51.891688,-87
-8.50818,51.891688,-85
-8.50818,51.891688,-85
-8.50818,51.891688,-85
-8.50818,51.891688,-85
-8.50818,51.891688,-85
-8.50818,51.891688,-85
-8.50818,51.891688,-83
-8.50818,51.891688,-83
-8.50818,51.891688,-86
-8.50818,51.891688,-81
-8.50818,51.891688,-83
-8.50818,51.891688,-83
-8.50818,51.891688,-81
-8.50818,51.891688,-79
-8.50818,51.891688,-82
-8.50818,51.891688,-79
-8.50818,51.891688,-85
-8.50818,51.891688,-83
-8.50818,51.891688,-85
-8.50818,51.891688,-85
-8.50818,51.891688,-83
-8.50818,51.891688,-83
-8.50818,51.891688,-87
-8.50818,51.891688,-87
-8.50818,51.891688,-87
-8.50818,51.891688,-87
-8.50818,51.891688,-89
-8.50818,51.891688,-84
-8.50818,51.891688,-88
-8.50818,51.891688,-88
-8.50818,51.891688,-88
-8.50818,51.891688,-88
-8.50818,51.891688,-88
-8.50818,51.891688,-90
-8.50818,51.891688,-87
-8.50818,51.891688,-87
-8.50818,51.891688,-90
-8.50818,51.891688,-93
-8.50818,51.891688,-94
-8.50818,51.891688,
-8.50818,51.891688,
-8.50818,51.891688,
-8.50818,51.891688,
-8.50818,51.891688,
-8.50818,51.891688,
-8.50818,51.891688,
-8.50818,51.891688,
-8.50818,51.891688,-94
-8.50818,51.891688,-94
-8.50818,51.891688,-94
-8.50818,51.891688,-94
-8.506727,51.891704,-94
-8.506727,51.891704,-94
-8.506727,51.891704,-94
-8.506727,51.891704,-94
-8.506727,51.891704,-94
-8.506727,51.891704,-94
-8.506727,51.891704,-94
-8.506727,51.891704,-94
-8.506727,51.891704,
-8.506727,51.891704,-81
-8.506727,51.891704,
-8.506727,51.891704,-73
-8.506727,51.891704,-77
-8.506727,51.891704,-81
-8.506727,51.891704,-83
-8.506727,51.891704,-74
-8.506727,51.891704,
-8.506727,51.891704,
-8.506727,51.891704,
-8.506727,51.891704,-76
-8.506727,51.891704,-78
-8.506727,51.891704,-76
-8.506727,51.891704,-76
-8.506727,51.891704,-76
-8.506727,51.891704,-78
-8.506727,51.891704,-78
-8.506727,51.891704,-83
-8.506727,51.891704,-78
-8.506727,51.891704,-80
-8.506727,51.891704,-74
-8.506727,51.891704,-76
-8.506727,51.891704,-80
-8.506727,51.891704,-80
-8.506727,51.891704,
-8.506727,51.891704,-74
-8.506727,51.891704,-74
-8.506727,51.891704,-74
-8.506727,51.891704,-71
